profile_id,source_id,type,claim,snippet,code_grounded,judge_verdict,judge_reason
p01-ai-manufacturing,HORIZON-CL4-2024-DIGITAL-EMERGING-01-04,fit,"The SME is developing AI-based predictive maintenance software for manufacturing lines, which aligns with the call’s focus on AI and Robotics Partnership.","Industrial leadership in AI, Data and Robotics boosting competitiveness and the green transition (AI Data and Robotics Partnership) (IA",True,partial,"The snippet mentions AI, Data, and Robotics as key areas of focus for the partnership but does not specifically mention predictive maintenance software or its alignment with the call."
p01-ai-manufacturing,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAP-STEP,fit,The SME’s focus on predictive maintenance using AI and machine learning could be relevant for the call’s broader objective of advanced detection and recognition of threats.,"This call topic aims to follow on and complement previous activities in the field of hidden threat detection and explore solutions involving various combinations of intelligent robots, drones and sensing technologies for advanced detection and recognition of threats, in view of their avoidance or neutralisation",True,partial,The snippet mentions advanced detection and recognition of threats but does not specifically mention predictive maintenance using AI and machine learning.
p01-ai-manufacturing,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAP-STEP,eligibility,Admissibility Conditions,Admissibility Conditions: Proposal page limit and layout described in section 5 of the call document,True,no,The snippet mentions proposal page limits and layout but does not provide information directly related to admissibility conditions.
p01-ai-manufacturing,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAP-STEP,eligibility,Eligible Countries,Eligible Countries described in section 6 of the call document,True,partial,"The snippet indicates that there is a list of eligible countries in section 6 of the call document, but it does not directly state what those countries are or confirm the claim."
p01-ai-manufacturing,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAP-STEP,eligibility,Other Eligible Conditions,Other Eligible Conditions described in section 6 of the call document,True,yes,"The snippet directly states that 'Other Eligible Conditions' are found in section 6 of the call document, which supports the claim."
p01-ai-manufacturing,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAP-STEP,eligibility,Financial and operational capacity and exclusion,Financial and operational capacity and exclusion described in section 7 of the call document,True,yes,"The snippet directly mentions financial and operational capacity and exclusion, which aligns with the claim."
p01-ai-manufacturing,HORIZON-CL3-2026-02-CS-ECCC-01,fit,The SME's work on predictive maintenance using machine learning could be relevant to the call’s focus on secure software development lifecycle (SDLC) methodologies and tools.,"This subtopic focuses on mitigating security risks in software supply chains, including secure code provenance, automated vulnerability detection, and secure software development lifecycle (SDLC) methodologies and tools, including those related to PQC security",True,partial,"The snippet mentions secure software development lifecycle (SDLC) methodologies and tools but does not explicitly link predictive maintenance using machine learning to these areas. However, it is related as both focus on improving software security."
p01-ai-manufacturing,HORIZON-CL3-2026-02-CS-ECCC-01,eligibility,Legal entity established in a Member State or Associated Country,"In order to achieve the expected outcomes, and safeguard the Union’s strategic assets, interests, autonomy, and security, participation in this topic is limited to legal entities established in Member States and Associated Countries",True,yes,"The snippet directly states that participation is limited to legal entities established in Member States and Associated Countries, which supports the claim."
p01-ai-manufacturing,HORIZON-CL3-2026-02-CS-ECCC-01,eligibility,Controlled by a non-eligible country or entity,"entities established in an eligible country listed above, but which are directly or indirectly controlled by a non-eligible country or by a non-eligible country entity, shall not participate in the action",True,yes,"The snippet explicitly states that entities controlled by a non-eligible country or entity are not eligible to participate, directly supporting the claim."
p01-ai-manufacturing,HORIZON-CL3-2026-02-CS-ECCC-01,eligibility,Financial and operational capacity,4. Financial and operational capacity and exclusion described in Annex C of the Work Programme General Annexes,True,partial,The snippet mentions financial and operational capacity but does not provide specific details or directly support the claim. It references Annex C for more information.
p02-green-energy,HORIZON-CL5-2026-09-D3-03,fit,The SME's focus on wind energy systems and smart-grid integration aligns with the call’s scope.,"Wind energy system integration: definition and modelling of future system needs, advanced grid capabilities, interoperability, solutions to effectively manage curtailment, integration with energy storage technologies and hybrid plants, distributed wind energy",True,partial,The snippet mentions wind energy system integration but does not explicitly state that it aligns with the call’s scope. It provides details on what is included in the definition and modelling of future system needs for wind energy systems.
p02-green-energy,HORIZON-CL5-2026-09-D3-03,eligibility,Admissibility Conditions,"Proposal page limit and layout Due to the complexity of the topic, the page limit for proposals is increased to 60 pages. ﻿ described in Annex A and Annex E of the Horizon Europe Work Programme General Annexes",True,no,The snippet discusses proposal page limits but does not provide information about admissibility conditions.
p02-green-energy,HORIZON-CL5-2026-09-D3-03,eligibility,Eligible Countries,Eligible Countries described in Annex B of the Work Programme General Annexes. A number of non-EU/non-Associated Countries that are not automatically eligible for funding have made specific provisions for making funding available for their participants in Horizon Europe projects,True,partial,"The snippet mentions eligible countries described in Annex B and notes some non-EU/non-Associated Countries that are not automatically eligible but can receive funding. However, it does not explicitly state all eligible countries."
p02-green-energy,HORIZON-CL5-2026-09-D3-03,eligibility,Other Eligible Conditions,"If projects use satellite-based earth observation, positioning, navigation and/or related timing data and services, beneficiaries must make use of Copernicus and/or Galileo/EGNOS (other data and services may additionally be used). described in Annex B of the Work Programme General Annexes",True,no,The snippet does not directly address other eligible conditions. It only specifies requirements for projects using satellite-based earth observation data and services.
